Question,Option 1,Option 2,Option 3,Option 4,Correct
Which subatomic particle is positively charged?,Proton,Neutron,Electron,Photon,Proton
What does the atomic number represent?,Number of electrons,Number of protons,Number of neutrons,Number of ions,Number of protons
Which of the following is a chemical compound?,Oxygen (O2),Sodium Chloride (NaCl),Nitrogen (N2),Argon (Ar),Sodium Chloride (NaCl)
What is the name given to the process where a solid changes directly to a gas?,Condensation,Evaporation,Sublimation,Deposition) Sublimation,Sublimation
What is Brownian motion?,The random movement of particles in a fluid,The predictable path of electrons in an atom,The expansion of solids when heated,The change from a liquid to a solid,The random movement of particles in a fluid
What is the difference between an element and a compound?,An element is made of one type of atom; a compound consists of two or more atoms chemically bonded,A compound is smaller than an element,An element can be broken down into simpler substances,A compound is made of the same kind of atoms,An element is made of one type of atom; a compound consists of two or more atoms chemically bonded
Which of the following is an isotope?,Carbon-12,Oxygen (O2),Hydrogen chloride (HCl),Argon (Ar),Carbon-12
Which of the following is an example of a diatomic molecule?,Helium,Oxygen (O2),Sodium (Na),Chlorine (Cl),Oxygen (O2)
What term is used to describe the process of a gas turning directly into a solid?,Condensation,Sublimation,Deposition,Freezing,Deposition
Which type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,Covalent bond
What is the charge of an electron?,Positive,Negative,Neutral,Depends on the atom,Negative
Which atomic particle determines the chemical behavior of an atom?,Proton,Neutron,Electron,Photon,Electron
Which law states that mass is conserved during a chemical reaction?,Boyle's Law,Charles's Law,Law of Conservation of Mass,Dalton's Law,Law of Conservation of Mass
What do isotopes of an element differ in?,Number of protons,Number of neutrons,Number of electrons,Atomic number,Number of neutrons
Which of the following is an example of an ionic compound?,H2O,NaCl,CH4,NH3,NaCl
What is the term for a substance made of two or more different elements chemically bonded?,Mixture,Element,Compound,Solution,Compound
Which of the following describes an atom?,Smallest unit of matter that retains the properties of an element,Smallest particle that cannot be divided,A molecule containing more than one atom,A negatively charged particle,Smallest unit of matter that retains the properties of an element
Which type of bonding occurs between a metal and a non-metal?,Covalent bond,Ionic bond,Metallic bond,Hydrogen bond,Ionic bond
Which statement is true about metals in terms of conductivity?,Metals are poor conductors of heat and electricity,Metals are good conductors of electricity but poor conductors of heat,Metals are good conductors of both heat and electricity,Metals only conduct electricity at high temperatures,Metals are good conductors of both heat and electricity
What does the periodic table group elements by?,Their atomic mass,Their atomic number,Their neutron number,Their electron configurations,Their atomic number
