Question,Option 1,Option 2,Option 3,Correct
What is the effect of increasing the RPM on a gyroscope’s rigidity?,Decreases rigidity,No effect,Increases rigidity,Increases rigidity
Which factor does NOT influence the rigidity of a gyroscope?,Mass of the rotor,Distance of the mass to the axis,Temperature,Temperature
What is the definition of precession in a gyroscope?,Resistance to rotational changes,Displacement of applied force at 90° further in the direction of motion,Increase in angular velocity,Displacement of applied force at 90° further in the direction of motion
Which type of gyro moves freely in all three planes but is stabilized by Earth's gravity?,Space gyro,Earth gyro,Tied gyro,Earth gyro
What is the purpose of gimbal rings in gyroscopes?,To increase RPM,To allow motion in three-dimensional planes,To reduce friction,To allow motion in three-dimensional planes
What is the relationship between the rate of precession and applied force in a gyroscope?,Inversely proportional,Directly proportional,No relation,Directly proportional
What happens to a gyroscope's spin axis when observed from Earth as the Earth rotates?,It remains fixed,It tilts gradually,It changes randomly,It tilts gradually
What type of friction is present when a stationary object prevents motion on a sloped surface?,Static friction,Sliding friction,Rolling friction,Static friction
Which type of friction is generally lower: static or sliding friction?,Static friction,Sliding friction,Both are equal,Sliding friction
Rolling friction is significantly lower than which other type of friction?,Static friction,Sliding friction,Both A and B,Both A and B
What is the effect of heat on two surfaces rubbing together?,Decreases friction,Heats the surfaces and wastes work,Reduces normal force,Heats the surfaces and wastes work
What is the primary difference between Celsius and Kelvin temperature scales?,Kelvin uses degrees,Celsius has larger increments,Kelvin starts from absolute zero,Kelvin starts from absolute zero
What is the function of the turn coordinator in an aircraft?,It shows the rate of turn and roll,It measures altitude,It displays speed,It shows the rate of turn and roll
What does the attitude indicator measure?,Speed,Pitch and roll,Rate of turn,Pitch and roll
Which type of friction occurs when an object is in motion?,Static friction,Sliding friction,Rolling friction,Sliding friction
What does the first law of thermodynamics state about energy?,"Energy cannot be destroyed or created, only transferred",Energy is always lost,Energy increases with temperature,"Energy cannot be destroyed or created, only transferred"
What kind of energy is measured by temperature?,Kinetic energy,Potential energy,Gravitational energy,Kinetic energy
How is work related to heat in thermodynamics?,Heat is work done in a system,Work is unrelated to heat,Work decreases heat,Heat is work done in a system
What is the unit of measurement for heat in the metric system?,Newton,Calorie,Pascal,Calorie
How does a thermocouple measure temperature?,By the expansion of a liquid,By detecting electrical potential between two metals,By infrared radiation,By detecting electrical potential between two metals
