Question,Option 1,Option 2,Option 3,Correct
"What is the phenomenon where two waves superimpose to form a resultant wave of greater, lower, or the same amplitude?",Interference,Reflection,Refraction,Interference
Which of the following describes transverse waves?,Medium vibrates parallel to wave direction,Medium vibrates perpendicular to wave direction,Medium does not vibrate,Medium vibrates perpendicular to wave direction
What type of interference occurs when the phase difference between two waves is a multiple of 2π?,Constructive interference,Destructive interference,Partial interference,Constructive interference
What are the locations of minimum amplitude in a standing wave called?,Nodes,Antinodes,Peaks,Nodes
What is the unit of frequency?,Meter,Hertz,Second,Hertz
Which type of transmission is represented by a sequence of on/off levels?,Analogue,Digital,Modulated,Digital
What kind of transmission is used in fiber optic systems to overcome noise?,Analogue,Digital,Combined,Digital
What is the effect of microbend losses in optical fibers?,Increase signal strength,Decrease attenuation,Increase attenuation,Increase attenuation
What describes the distance from one crest to another in a wave?,Amplitude,Wavelength,Frequency,Wavelength
Which wave property is defined as the number of waves passing a point per second?,Wavelength,Frequency,Amplitude,Frequency
Which type of fiber has a higher information capacity?,Multimode fiber,Single-mode fiber,Both,Single-mode fiber
What is defined as the total spreading of light as it propagates along a fiber?,Attenuation,Dispersion,Reflection,Dispersion
Which factor primarily affects signal loss in optical fibers?,Core size,Cladding material,Attenuation mechanisms,Attenuation mechanisms
What is the name for a wave where all points have constant amplitude?,Traveling wave,Standing wave,Longitudinal wave,Standing wave
What is the relationship between period (T) and frequency (f) of a wave?,Directly proportional,Inversely proportional,No relation,Inversely proportional
What defines a surface wave?,Wave traveling inside a medium,Wave traveling along a surface between two media,Wave travelling in vacuum,Wave traveling along a surface between two media
Which component of a sinusoidal wave represents the maximum displacement from the center line?,Amplitude,Frequency,Wavelength,Amplitude
What is the primary function of optical fibers in data transmission?,To generate light,To propagate light signals,To amplify signals,To propagate light signals
What is the term for the angle at which light can enter the fiber and still propagate?,Critical angle,Refraction angle,Incidence angle,Critical angle
What is the basic structural difference between single-mode and multimode fibers?,Core size,Cladding material,Signal type,Core size
