Question,Option 1,Option 2,Option 3,Correct
What is the definition of density?,Mass per unit volume,Volume per unit mass,Weight per unit volumeass per unit volume,Mass per unit volume
How is specific gravity related to density?,It is the ratio of the density of a substance to the density of water.,It is the product of density and volume.,It is the ratio of density to weight,It is the ratio of the density of a substance to the density of water.
"What is the relationship between mass, density, and volume?",Mass = Density x Volume,Density = Mass x Volume,Volume = Mass x Density,Mass = Density x Volume
What is the main cause of wave drag?,High-speed fluid flow,Lift-induced drag,Low fluid density,High-speed fluid flow
Which of the following defines the Venturi effect?,Decreased pressure with increased velocity,Increased pressure with increased velocity,Constant pressure with varying velocity,Decreased pressure with increased velocity
How is form drag related to an object's shape?,Proportional to the shape's frontal area,Proportional to the object's mass,Independent of the object's shape,Proportional to the shape's frontal area
What type of fluid has varying viscosity under different shear rates?,Non-Newtonian fluid,Newtonian fluid,Incompressible fluid,Non-Newtonian fluid
What happens to fluid velocity in a Venturi tube's narrow section?,It increases,It decreases,It remains constantt increases,It increases
How is lift generated according to Bernoulli’s theorem?,Pressure difference across wing surfaces,Increase in fluid density,Reduction in drag forces,Pressure difference across wing surfaces
What does the drag coefficient (Cd) depend on?,Shape and surface roughness,Weight of the object,Color of the object,Shape and surface roughness
What type of pressure is felt when a fluid is at rest?,Static pressure,Dynamic pressure,Total pressure,Static pressure
How does streamlining affect lift and drag?,Increases lift and reduces drag,Decreases lift and increases drag,No effect on lift and drag,Increases lift and reduces drag
Which fluid property primarily determines resistance to flow?,Viscosity,Density,Pressure,Viscosity
How is the total pressure calculated?,Static pressure + dynamic pressure,Static pressure - dynamic pressure,Static pressure x dynamic pressure,Static pressure + dynamic pressure
What does Bernoulli’s principle state about energy in fluid flow?,Total energy remains constant,Potential energy decreases,Kinetic energy remains constant,Total energy remains constant
What is the relationship between dynamic pressure and velocity?,Dynamic pressure increases with velocity squared,Dynamic pressure decreases with velocity,Dynamic pressure remains constant,Dynamic pressure increases with velocity squared
Which of the following is an example of an ideal fluid?,Inviscid fluid,Newtonian fluid,Non-Newtonian fluid,Inviscid fluid
What type of drag is associated with skin friction?,Parasitic drag,Wave drag,Lift-induced drag,Parasitic drag
What happens to viscosity as temperature increases?,Decreases,Increases,Remains constant,Decreases
What happens to drag as speed increases?,Increases exponentially,Decreases linearly,Remains constant,Increases exponentially
