Question,Option 1,Option 2,Option 3,Correct
What is the primary advantage of using a single fixed pulley?,It reduces the force required,It changes the direction of the force,It increases mechanical advantage,It changes the direction of the force
What is the general relationship between input and output work in a real machine?,Input work equals output work,Input work is greater than output work,Input work is less than output work,Input work is greater than output work
Which type of vibration occurs when an alternating force is applied to a mechanical system?,Forced Vibration,Free Vibration,Resonance,Forced Vibration
What is the IMA of a single movable pulley with 2 strands supporting the load?,2,1,4,2
What is the main purpose of a damper in a vibrating system?,To increase the frequency,To reduce the amplitude of vibration,To store energy,To reduce the amplitude of vibration
In which class of lever is the load located between the fulcrum and the applied force?,1st Class,2nd Class,3rd Class),2nd Class
What is the gear ratio if a driver gear with 15 teeth drives a gear with 30 teeth?,2,0.5,1,2
Which machine component is designed to convert rotary motion into linear motion in a screw jack?,The handle,The threads,The piston,The threads
"In a compound gear train, what is the advantage of using compound gears?",To increase gear size,To produce a higher gear ratio without disproportionate gear sizes,To reduce the number of gears,To produce a higher gear ratio without disproportionate gear sizes
How does a hydraulic press amplify force?,By using air pressure,By using fluid pressure,By using mechanical advantage,By using fluid pressure
"If a system’s resonant frequency matches an external force, what will happen to the amplitude of vibrations?",It will decrease,It will increase,It will remain constant,It will increase
How is the mechanical advantage of a hydraulic press determined?,By comparing the areas of the pistons,By comparing the pressures applied,By comparing the heights of the cylinders,By comparing the areas of the pistons
What type of mechanical advantage is calculated by dividing the output force by the input force?,Actual Mechanical Advantage,Ideal Mechanical Advantage,Velocity Ratio,Actual Mechanical Advantage
In which lever class is there no force advantage but a speed advantage?,1st Class,2nd Class,3rd Class,3rd Class
What is the definition of vibration?,Random oscillations around a moving point,Mechanical oscillations about an equilibrium point,Rotational movement of an object,Mechanical oscillations about an equilibrium point
Which of the following is an example of forced vibration?,A pendulum swinging freely,A tuning fork ringing,A washing machine shaking due to imbalance,A washing machine shaking due to imbalance
What is resonance?,Small amplitude of vibrations,Maximum amplitude of vibrations at a specific frequency,Complete stoppage of vibrations,Maximum amplitude of vibrations at a specific frequency
What is the mechanical advantage of a third-class lever?,Greater than one,Less than one,Equal to one,Less than one
How does a hydraulic press achieve its mechanical advantage?,By using a smaller input piston,By increasing fluid volume,By maintaining constant pressure,By maintaining constant pressure
What causes catastrophic resonance in structures like bridges?,Large damping,Small periodic stimulus in harmony with natural vibrations,Constant pressure waves,Small periodic stimulus in harmony with natural vibrations
