Question,Option 1,Option 2,Option 3,Option 4,Correct
Which of the following is a vector quantity?,Speed,Distance,Velocity,Time,Velocity
"In a scaled vector diagram, the magnitude of the vector is represented by:",Length of the arrow,Direction of the arrow,Color of the arrow,Width of the arrow,Length of the arrow
Which method is useful for determining the resultant magnitude of two vectors at a right angle?,SOH CAH TOA,Pythagorean theorem,Head-to-tail method,Parallelogram method,Pythagorean theorem
Which of the following is true about adding vectors using the head-to-tail method?,The order of addition affects the resultant,The order of addition does not affect the resultant,Only two vectors can be added,Only vectors with the same magnitude can be added,The order of addition does not affect the resultant
What is the magnitude of the resultant vector if two displacement vectors of 11 km north and 11 km east are added?,15.6 km,22 km,11 km,5.5 km,15.6 km
"If an aeroplane flies with a velocity of 100 km/h south and encounters a 25 km/h side wind west, what is the resultant velocity?",100 km/h,125 km/h,103.1 km/h,75 km/h,103.1 km/h
The vertical and horizontal components of a force vector are determined by using:,Pythagorean theorem,SOH CAH TOA,Head-to-tail method,Vector addition,SOH CAH TOA
The head-to-tail method of vector addition involves:,Drawing all vectors from a common origin,Drawing vectors consecutively from the tail of one to the head of another,Drawing vectors parallel to each other,Using angles to add vectors,Drawing vectors consecutively from the tail of one to the head of another
Vectors that are not at right angles can be added using:,Pythagorean theorem,Vector resolution,Scalar addition,Component method.,Vector resolution
The resultant vector in a rugby player's force diagram represents:,The total applied force,The sum of all angles,The individual forces,The magnitude of one force,The total applied force
The component of a vector describes:,Its influence in a given direction,Its magnitude,Its angle,Its resultant,Its influence in a given direction
"If a motorboat travels 5 m/s east and encounters a 2.5 m/s north current, the resultant velocity is approximately:",6 m/s,5.5 m/s,7.5 m/s,2.5 m/s,5.5 m/s
Which of the following is a scalar quantity?,Speed,Force,Displacement,Velocity,Speed
Which trigonometric function relates an angle to the opposite side and hypotenuse?,Sine,Cosine,Tangent,Cotangent,Sine
Which function is used to find the adjacent side given an angle and the hypotenuse?,Sine,Tangent,Cosine,Secant,Cosine
What is the vertical component of a vector with a magnitude of 50 N at 60 degrees?,43.3 N,25 N,50 N,60 N,43.3 N
"In vector diagrams, the magnitude of a vector is usually indicated by:",The length of the vector arrow,The width of the vector arrow,The direction of the vector,The tail of the vector,The length of the vector arrow
"If a 10 N force acts at 30 degrees to the horizontal, what is the horizontal component?",8.66 N,10 N,5 N,6 N,8.66 N
What is the purpose of a free-body diagram?,To analyze forces acting on a body,To calculate speed,To determine displacement,To find velocity,To analyze forces acting on a body
"If a vector is represented as a diagonal of a parallelogram, its sides represent:",The vector components,The vector magnitude,The vector direction,The vector tail,The vector components
