Question,Option 1,Option 2,Option 3,Option 4,Correct
How does increasing the area of the output piston in a hydraulic system affect the force exerted?,It decreases the force exerted,It increases the force exerted,It has no effect on the force,,It increases the force exerted
"In a fluid system, what happens if the distance moved by a piston is reduced when its area increases?",The force decreases,The pressure increases,The force increases,The distance moved increases,The force increases
How does fluid pressure behave with respect to depth in a fluid?,It decreases with depth,It remains constant,It increases with depth,It fluctuates with depth,It increases with depth
"According to Pascal’s law, the pressure applied at one point in a confined fluid acts:",In a downward direction only,Equally in all directions,Only at the point of application,Perpendicular to the point of application,Equally in all directions
What is the key factor that determines whether an object will float or sink in a fluid according to Archimedes’ principle?,The object's color,The object's density relative to the fluid,The object's mass,,The object's density relative to the fluid
What occurs in a fluid system when the pressure on a piston is greater than the resistance?,The system stops working,The piston does not move,The piston moves to balance the forces,The system loses pressure,The piston moves to balance the forces
What happens when the atmospheric pressure is added to the fluid pressure in an open container?,The total pressure is the sum of the atmospheric and fluid pressure,The pressure decreases,Atmospheric pressure cancels out fluid pressure,The total pressure becomes zero,The total pressure is the sum of the atmospheric and fluid pressure
What is the unit of pressure commonly used in fluid systems?,Newton,Joule,Pascal,Watt,Pascal
"If the input force in a hydraulic system is increased, what happens to the pressure?",The pressure decreases,The pressure remains the same,The pressure increases,,The pressure increases
What causes buoyant force in a liquid according to Archimedes’ principle?,The shape of the object,The weight of the fluid displaced,The depth of the object in the fluid,The speed of the object in the fluid,The weight of the fluid displaced
"In a hydraulic brake system, the pressure applied on the brake pedal is transmitted to the brake shoes by:",The master cylinder,The brake fluid,The brake drum,The wheel cylinder,The brake fluid
What is the purpose of an accumulator in a hydraulic system?,To increase the speed of fluid flow,To maintain system pressure,To reduce friction,,To maintain system pressure
What is the relationship between pressure at the base and height in a liquid column?,Pressure decreases with height,Pressure increases with height,Pressure remains constant with height,Pressure is unrelated to height,Pressure increases with height
What is the principle behind the operation of hydraulic brakes?,Pascal's Law,Bernoulli's Principle,Newton's Law,Archimedes' Principle,Pascal's Law
"In a submerged object, the apparent weight is less than its actual weight due to:",The density of the object,The buoyant force of the fluid,The object's temperature,,The buoyant force of the fluid
What is the effect of friction in a dynamic fluid system?,It increases pressure,It reduces pressure,It has no effect,,It reduces pressure
What is the common use of hydraulic jacks?,Lifting heavy loads,Compressing gases,Measuring fluid velocity,,Lifting heavy loads
What is the purpose of hydraulic fluid in a fluid power system?,To cool the system,To lubricate components,To transmit force,,To transmit force
"In a closed fluid system, if the input piston moves 2 inches and the output piston moves 1 inch, what is the relationship between the areas of the pistons?",The area of the input piston is twice that of the output piston,The area of the output piston is twice that of the input piston,The areas are equal,The areas are unrelated,The area of the output piston is twice that of the input piston
What is the significance of atmospheric pressure in fluid systems open to the atmosphere?,It decreases the total pressure,It has no effect,It adds to the total pressure,,It adds to the total pressure
