Question,Option 1,Option 2,Option 3,Option 4,Correct
What is the unit of mass in the imperial system?,Newton,Pound,Slug,Kilogram,Slug
What is the SI unit of mass?,Newton,Kilogram,Pound,Slug,Kilogram
Which of the following is a vector quantity?,Mass,Weight,Volume,Time,Weight
The formula for force is:,F = mv,F = ma,F = m/a,F = v/m,F = ma
What is the relationship between pound and newton?,1 lb = 3.448 N,1 lb = 2.448 N,1 lb = 4.448 N,1 lb = 5.448 N,1 lb = 4.448 N
How do we define weight?,Gravitational pull of the earth,Mass of an object,Force exerted by a body,Acceleration due to gravity,Gravitational pull of the earth
"If a force of 10 N is applied to a spanner at a distance of 100 mm, what is the moment applied?",1000 Nm,100 Nm,1 Nm,1000 N,1 Nm
"If a person of 500 N sits 2 m from a fulcrum, where should a person of 1000 N sit to balance?",1 m,2 m,0.5 m,1.5 m,1 m
What is the unit for moment of force?,Newton meter,Pound,Kilogram,Joule,Newton meter
What is a couple in mechanics?,A single force,A pair of forces acting in opposite directions,A balanced force,A force acting along a single axis,A pair of forces acting in opposite directions
"If the couple applied on a ship's wheel is 60 Nm and the diameter of the wheel is 0.8 m, what is the force on one side?",75 N,100 N,60 N,50 N,75 N
What is the formula for mass in terms of weight and gravitational acceleration?,m = w/g,m = wg,m = w/g^2,m = g/w,m = w/g
The force on a spanner of length 0.5 m to torque a bolt at 50 Nm is:,100 N,25 N,50 N,10 N,100 N
What happens if an aircraft’s center of gravity is outside the limits?,The aircraft will be difficult to control,Increased fuel consumption,Both A and B,None of the above,Both A and B
"In an aircraft, the center of gravity is important for:",Stability,Thrust,Wing design,Landing gear,Stability
How is the center of gravity determined for an irregular object?,By balancing the object,Using a plumb line method,By estimation,By using mass only,Using a plumb line method
The total moment of an aircraft divided by its total mass gives the:,Centre of gravity,Mass,Weight,Moment,Centre of gravity
A beam in equilibrium has:,Sum of clockwise moments equals sum of anticlockwise moments,Sum of forces equals zero,Both A and B,None of the above,Both A and B
Which unit is used to measure torque?,Pound,Meter,Newton,Newton-meter,Newton-meter
Which of the following affects an aircraft’s balance?,Fuel placement,Cargo distribution,Both A and B,Neither A nor B,Both A and B
