Question,Option 1,Option 2,Option 3,Correct
Which gas law states that the volume of a gas is inversely proportional to its pressure at constant temperature?,Charles' Law,Boyle's Law,Avogadro's Law,Boyle's Law
What is the combined gas law equation?,P1V1 = P2V2,V1/T1 = V2/T2,P1V1/T1 = P2V2/T2,P1V1/T1 = P2V2/T2
Which gas law explains that equal volumes of gases contain the same number of molecules under identical conditions?,Avogadro's Law,Boyle's Law,Dalton's Law,Avogadro's Law
"In Gay-Lussac's law, what happens to the pressure of a gas when its temperature increases at constant volume?",It increases,It decreases,It remains constant,It increases
What does Dalton’s law state about the total pressure of a gas mixture?,It is equal to the product of partial pressures,It is equal to the sum of partial pressures,It depends on the volume,It is equal to the sum of partial pressures
How is work done by an expanding gas calculated?,Work = P x V,Work = P x ΔV,Work = V x ΔP,Work = P x ΔV
What is the compression ratio in a compressor?,The ratio of discharge pressure to inlet pressure,The ratio of volume to temperature,The ratio of work to heat,The ratio of discharge pressure to inlet pressure
What is the objective of a refrigerator in thermodynamics?,To remove heat from a warm medium,To supply heat to a cold medium,To remove heat from a cold medium,To remove heat from a cold medium
Which cycle describes the heat process in modern gas turbine engines?,Otto cycle,Rankine cycle,Brayton cycle,Brayton cycle
What is the key difference between the Otto cycle and the Diesel cycle?,Compression process,Ignition process,Expansion process,Ignition process
What does the Carnot efficiency represent in thermodynamics?,The actual efficiency of an engine,The maximum possible efficiency of an engine,The minimum efficiency of an engine,The maximum possible efficiency of an engine
What is the relationship between heat engines and heat pumps?,Both convert thermal energy into work,A heat pump operates in reverse of a heat engine,Both operate in the same direction,A heat pump operates in reverse of a heat engine
"In the Otto cycle, what initiates the ignition process?",High compression,Spark,Heat,Spark
What kind of process is involved in the compression stroke of a Diesel cycle?,Isothermal,Adiabatic,Isochoric,Adiabatic
What happens to heat in an internal combustion engine?,It is completely converted to work,It is partially converted to work,It remains constant,It is partially converted to work
Which cycle does not use isobaric combustion in its process?,Otto cycle,Diesel cycle,Brayton cycle,Otto cycle
Which cycle is primarily used in piston-driven internal combustion engines?,Otto cycle,Rankine cycle,Brayton cycle,Otto cycle
What happens to the volume of gas during the isobaric heating process in the Carnot cycle?,It decreases,It remains constant,It increases,It increases
In which thermodynamic process does the temperature of a gas remain constant?,Adiabatic,Isothermal,Isochoric,Isothermal
What is the Carnot cycle's main limitation in practical applications?,Inefficiency,Slow heat transfer,High cost,Slow heat transfer
