Question,Option 1,Option 2,Option 3,Correct
What is the standard unit of mass in the International System (SI)?,Gram,Kilogram,Pound,Kilogram
Which of the following laws is referred to as the 'law of inertia'?,Newton's First Law,Newton's Second Law,Newton's Third Law,Newton's First Law
When is a body said to be in equilibrium?,When the net force acting on it is zero,When it is accelerating,When its velocity is changing,When the net force acting on it is zero
What is the net forward force on an aeroplane during takeoff?,Thrust minus drag,Lift minus weight,Weight minus lift,Thrust minus drag
Newton's third law is also known as?,Law of Inertia,Law of Action and Reaction,Law of Universal Gravitation,Law of Action and Reaction
Which of the following quantities is a scalar?,Force,Acceleration,Mass,Mass
In which direction does the acceleration point according to Newton's second law?,Opposite to the net force,In the same direction as the net force,Perpendicular to the net force,In the same direction as the net force
How does a jet engine produce thrust?,By accelerating a large mass of air rearwards,By accelerating a small mass of air rearwards with greater acceleration,By reducing drag,By accelerating a small mass of air rearwards with greater acceleration
What is work defined as in physics?,Force applied over a distance,Energy stored,Power produced per second,Force applied over a distance
Which of the following is an example of negative work?,Lifting a box,Lowering a box,Pushing a car forward,Lowering a box
What is the unit of energy in the metric system?,Joule,Newton,Foot-pound,Joule
Gravitational potential energy is represented by which formula?,KE = 1/2 mv²,PE = mgh,W = Fd,PE = mgh
What is the equation for kinetic energy?,KE = 1/2 mv²,PE = mgh,W = Fd,KE = 1/2 mv²
How is power defined in physics?,The rate of doing work,The energy stored in an object,The force applied over a distance,The rate of doing work
Momentum is the product of?,Mass and velocity,Force and acceleration,Energy and distance,Mass and velocity
In which type of collision is kinetic energy conserved?,Elastic collision,Inelastic collision,Head-on collision,Elastic collision
"In a perfectly inelastic collision, what happens to the colliding bodies?",They bounce apart,They stick together,They accelerate in opposite directions,They stick together
Impulse is the product of which quantities?,Force and time,Mass and velocity,Work and energy,Force and time
Which of the following represents Newton's second law of motion?,F = ma,F = mv,F = mg,F = ma
In which direction is the reaction force in Newton's third law?,Same as the action force,Opposite to the action force,Perpendicular to the action force,Opposite to the action force
