Question,Option 1,Option 2,Option 3,Correct
What is the focal length of a lens?,The distance from the lens to the object.,The distance from the lens to the principal focus.,The distance from the object to the image,The distance from the lens to the principal focus.
What type of image is formed by a diverging lens?,Real and inverted.,Virtual and upright.,Real and upright,Virtual and upright.
What is the primary advantage of using fibre optics in aircraft?,Increased weight.,Reduced bandwidth.,Immunity to electromagnetic interference (EMI),Immunity to electromagnetic interference (EMI)
How is the power of a lens defined?,Reciprocal of the focal length in meters.,Distance between lens and image.,Distance between the object and the lens,Reciprocal of the focal length in meters.
What is the purpose of the numerical aperture in optical fibres?,To increase the speed of light in the fibre.,To measure the light-capturing ability.,To determine the attenuation rate,To measure the light-capturing ability.
What is the main characteristic of a virtual image?,It can be projected on a screen.,It is formed where light rays converge.,It cannot be projected on a screen,It cannot be projected on a screen
What is a single-mode fibre used for?,Short-distance communication.,Long-distance communication.,Audio signal transmission,Long-distance communication.
Which part of the optical fibre is primarily responsible for light propagation?,Core,Cladding,Buffer,Core
What is the main function of the buffer layer in optical fibres?,To conduct electricity.,To protect the core from physical damage.,To increase the speed of light,To protect the core from physical damage.
How is the acceptance angle of an optical fibre defined?,The minimum angle at which light can enter the fibre.,The maximum angle at which light can enter the fibre and propagate.,The average angle of light entry,The maximum angle at which light can enter the fibre and propagate.
What is the effect of microbends in an optical fibre?,Increases signal strength.,Causes scattering losses.,Enhances total internal reflection,Causes scattering losses.
What is a skew ray in optical fibres?,A ray that passes through the axis of the fibre.,A ray that propagates without passing through the axis of the fibre.,A ray that is refracted out of the fibre,A ray that propagates without passing through the axis of the fibre.
What is the relationship between focal length and power of a lens?,Power is the square of the focal length.,Power is the reciprocal of the focal length.,Power is twice the focal length,Power is the reciprocal of the focal length.
How do bound rays propagate in optical fibres?,Through refraction only.,Through total internal reflection.,Through diffraction,Through total internal reflection.
How does fibre optics enhance data security?,By amplifying signals.,By making it difficult to tap.,By reducing signal speed,By making it difficult to tap.
What is the wavelength range typically used for fibre optic communication?,Visible light spectrum,Infrared spectrum,Ultraviolet spectrum,Infrared spectrum
What is chromatic aberration?,Blurring due to spherical shape of lens.,Focusing of different colors at different distances.,Loss of light at the edges of the lens,Focusing of different colors at different distances.
What causes spherical aberration in lenses?,Imperfections in the lens material.,Curvature of the lens surfaces.,Variation in light wavelength,Curvature of the lens surfaces.
What is the impact of attenuation on optical signals?,It strengthens the signal,It weakens the signal,It has no impact,It weakens the signal
What is the primary cause of signal loss in optical fibres?,Electrical interference,Absorption and scattering,Mechanical vibrations,Absorption and scattering
