Question,Option 1,Option 2,Option 3,Correct
What is a fundamental requirement for sound to be produced?,An object must vibrate.,Sound requires a vacuum.,Sound needs a liquid medium,An object must vibrate.
Which type of wave is associated with the propagation of sound?,Longitudinal waves,Transverse waves,Radio waves,Longitudinal waves
Which of the following is a typical frequency range audible to the human ear?,"20 Hz - 20,000 Hz","50 Hz - 15,000 Hz","100 Hz - 50,000 Hz","20 Hz - 20,000 Hz"
What is the name for sound waves above Mach 1 in the airflow around an aircraft?,Supersonic,Transonic,Subsonic,Supersonic
How does the speed of sound in water compare to that in air?,Slower,Faster,Same speed,Faster
What happens to sound when moving from a lighter to a denser medium?,Speed decreases,Speed remains constant,Speed increases,Speed increases
What is the effect on frequency when a sound source moves toward an observer?,Frequency decreases,Frequency increases,Frequency remains constant,Frequency increases
What is the effect on wavelength when a sound source moves away from an observer?,Wavelength decreases,Wavelength increases,Wavelength remains the same,Wavelength increases
At what Mach number is an aircraft considered to be in the transonic region?,Above Mach 1,Between Mach 0.7 and Mach 1.3,Below Mach 0.5,Between Mach 0.7 and Mach 1.3
What is the typical speed of sound in air at standard sea level conditions?,200 m/s,340 m/s,500 m/s,340 m/s
What unit is commonly used to measure the frequency of a sound wave?,Meters,Hertz,Decibels,Hertz
Which of the following sound properties is perceived as loudness?,Frequency,Intensity,Wavelength,Intensity
How do constructive and destructive interference affect sound waves?,They increase sound speed,They alter sound amplitude,They affect sound frequency,They alter sound amplitude
What happens to pitch when the frequency of a sound source increases?,Pitch decreases,Pitch remains constant,Pitch increases,Pitch increases
How does air temperature affect sound speed?,Higher temperature decreases speed,Higher temperature increases speed,No effect,Higher temperature increases speed
What name is given to the lowest frequency in a harmonic series?,First overtone,Fundamental frequency,Second harmonic,Fundamental frequency
"Sounds with frequencies above 20,000 Hz are known as?",Infrasonic sounds,Ultrasonic sounds,Harmonics,Ultrasonic sounds
"In the transonic region, what type of airflow is present around the aircraft?",Entirely subsonic,Entirely supersonic,Mixed subsonic and supersonic,Mixed subsonic and supersonic
What term describes frequencies lower than the human audible range?,Infrasound,Ultrasound,Supersound,Infrasound
What determines the loudness of sound heard by a person?,Frequency,Amplitude,Wavelength,Amplitude
